[2023-06-09 07:56:11,678] ================================================================ (start)
[2023-06-09 07:56:12,639] * Configuring JetBrains YouTrack 2023.1 
[2023-06-09 07:56:12,650] * Made default base-url 'http://localhost:8080/' from hostname 'localhost' and listen port '8080' 
[2023-06-09 07:56:12,672] * JetBrains YouTrack 2023.1 runtime environment is successfully configured 
[2023-06-09 07:56:12,776] * Loading logging configuration from /opt/youtrack/lib/ext/log4j.xml 
[2023-06-09 07:56:12,778] * Redirecting JetBrains YouTrack 2023.1 logging to /opt/youtrack/logs/internal/services/bundleProcess 
[2023-06-09 07:56:13,074] * Configuring Service-Container[bundleProcess] 
[2023-06-09 07:56:13,085] * Configuring Bundle Backend Service 
[2023-06-09 07:56:13,096] * Configuring Configuration Wizard 
[2023-06-09 07:56:13,139] * Starting Service-Container[bundleProcess] 
[2023-06-09 07:56:13,312] * Starting Bundle Backend Service 
[2023-06-09 07:56:15,088] * Starting Configuration Wizard 
[2023-06-09 07:56:15,089] * JetBrains YouTrack 2023.1 Configuration Wizard will listen inside container on {0.0.0.0:8080}/ after start and can be accessed by URL [http://<put-your-docker-HOST-name-here>:<put-host-port-mapped-to-container-port-8080-here>//?wizard_token=ZCy2284FNCcnTAczt8mq] 
[2023-06-09 07:58:23,557] ================================================================ (start)
[2023-06-09 07:58:24,442] * Configuring JetBrains YouTrack 2023.1 
[2023-06-09 07:58:24,444] * JetBrains YouTrack 2023.1 runtime environment is successfully configured 
[2023-06-09 07:58:24,527] * Loading logging configuration from /opt/youtrack/lib/ext/log4j.xml 
[2023-06-09 07:58:24,529] * Redirecting JetBrains YouTrack 2023.1 logging to /opt/youtrack/logs/internal/services/bundleProcess 
[2023-06-09 07:58:24,804] * Configuring Service-Container[bundleProcess] 
[2023-06-09 07:58:24,814] * Configuring Bundle Backend Service 
[2023-06-09 07:58:24,815] * Configuring Configuration Wizard 
[2023-06-09 07:58:24,846] * Starting Service-Container[bundleProcess] 
[2023-06-09 07:58:25,009] * Starting Bundle Backend Service 
[2023-06-09 07:58:26,328] * Starting Configuration Wizard 
[2023-06-09 07:58:26,329] * JetBrains YouTrack 2023.1 Configuration Wizard will listen inside container on {0.0.0.0:8080}/ after start and can be accessed by URL [http://<put-your-docker-HOST-name-here>:<put-host-port-mapped-to-container-port-8080-here>//?wizard_token=PHj01g1iZ7a5Uv30wvhE] 
[2023-06-09 12:53:40,461] ================================================================ (start)
[2023-06-09 12:53:41,508] * Configuring JetBrains YouTrack 2023.1 
[2023-06-09 12:53:41,509] * JetBrains YouTrack 2023.1 runtime environment is successfully configured 
[2023-06-09 12:53:41,581] * Loading logging configuration from /opt/youtrack/lib/ext/log4j.xml 
[2023-06-09 12:53:41,582] * Redirecting JetBrains YouTrack 2023.1 logging to /opt/youtrack/logs/internal/services/bundleProcess 
[2023-06-09 12:53:42,019] * Configuring Service-Container[bundleProcess] 
[2023-06-09 12:53:42,030] * Configuring Bundle Backend Service 
[2023-06-09 12:53:42,052] * Configuring Starting Page Service 
[2023-06-09 12:53:42,063] * Configuring YouTrack Configurator 
[2023-06-09 12:53:42,075] * Configuring Hub 
[2023-06-09 12:53:42,268] * Configuring Bundle Hub Configurator 
[2023-06-09 12:53:42,269] * Configuring YouTrack 
[2023-06-09 12:53:42,442] * Starting Service-Container[bundleProcess] 
[2023-06-09 12:53:42,595] * Starting Bundle Backend Service 
[2023-06-09 12:53:43,927] * Starting Starting Page Service 
[2023-06-09 12:53:43,927] * JetBrains YouTrack 2023.1 will listen inside container on {0.0.0.0:8080}/bundle/starting after start and can be accessed by URL [http://<put-your-docker-HOST-name-here>:<put-host-port-mapped-to-container-port-8080-here>/bundle/starting] 
[2023-06-09 12:53:44,487] * Starting YouTrack Configurator 
[2023-06-09 12:53:45,292] * Starting Hub 
[2023-06-09 12:53:57,286] * Starting Bundle Hub Configurator 
[2023-06-09 12:53:59,566] * Starting YouTrack 
[2023-06-09 12:54:01,540] 12:54:01,525 INFO  [@init servlet   ] [Reflections                   ] [init@] Reflections took 823 ms to scan 38 urls, producing 1859 keys and 68101 values
[2023-06-09 12:54:20,127]  12:54:20,115 INFO  [@init servlet   ] [security                      ] [@] All tickets[XdSavedQuery wrapper for SavedQuery: id = 7-4] for user search_user_535934745[79-0] created
[2023-06-09 12:54:20,129]  12:54:20,121 INFO  [@init servlet   ] [ApplicationStateHolderImpl    ] [@] Application state changed from LOCALIZATION_SERVICE_INITIALIZED to USER_SERVICE_INITIALIZED
[2023-06-09 12:54:20,181]  12:54:20,170 INFO  [@init servlet   ] [ApplicationStateHolderImpl    ] [@] Application state changed from USER_SERVICE_INITIALIZED to LICENSE_AND_LIABILITY_CHECKED
[2023-06-09 12:54:20,203]  12:54:20,194 INFO  [@init servlet   ] [ApplicationStateHolderImpl    ] [@] Application state changed from LICENSE_AND_LIABILITY_CHECKED to REFACTORINGS_STARTED
[2023-06-09 12:54:20,205]  12:54:20,196 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Starting youtrack-only refactorings...
[2023-06-09 12:54:20,216]  12:54:20,207 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.imports.refactoring.RefactoringMigrateToDataContainers
[2023-06-09 12:54:20,229]  12:54:20,225 INFO  [@init servlet   ] [RefactoringUtil               ] [@] Processed 0 entities of type Issue
[2023-06-09 12:54:20,230]  12:54:20,226 INFO  [@init servlet   ] [RefactoringUtil               ] [@] Processed 0 entities of type IssueComment
[2023-06-09 12:54:20,231]  12:54:20,226 INFO  [@init servlet   ] [RefactoringUtil               ] [@] Processed 0 entities of type IssueAttachment
[2023-06-09 12:54:20,232]  12:54:20,226 INFO  [@init servlet   ] [RefactoringUtil               ] [@] Processed 0 entities of type Article
[2023-06-09 12:54:20,232]  12:54:20,226 INFO  [@init servlet   ] [RefactoringUtil               ] [@] Processed 0 entities of type ArticleComment
[2023-06-09 12:54:20,234]  12:54:20,226 INFO  [@init servlet   ] [RefactoringUtil               ] [@] Processed 0 entities of type ArticleAttachment
[2023-06-09 12:54:20,235]  12:54:20,227 INFO  [@init servlet   ] [RefactoringUtil               ] [@] Processed 0 entities of type CustomFieldPrototype
[2023-06-09 12:54:20,236]  12:54:20,227 INFO  [@init servlet   ] [RefactoringUtil               ] [@] Processed 0 entities of type ProjectCustomField
[2023-06-09 12:54:20,238]  12:54:20,227 INFO  [@init servlet   ] [RefactoringUtil               ] [@] Processed 0 entities of type IssueLinkPrototype
[2023-06-09 12:54:20,240]  12:54:20,227 INFO  [@init servlet   ] [RefactoringUtil               ] [@] Processed 0 entities of type Project
[2023-06-09 12:54:20,242]  12:54:20,227 INFO  [@init servlet   ] [RefactoringUtil               ] [@] Processed 0 entities of type IssueWorkItem
[2023-06-09 12:54:20,254]  12:54:20,246 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.imports.refactoring.RefactoringRemoveRedundantLinkTypes
[2023-06-09 12:54:20,266]  12:54:20,253 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.imports.refactoring.RefactoringFixGitHubGitLabImportParameters
[2023-06-09 12:54:20,267]  12:54:20,257 INFO  [@init servlet   ] [RefactoringUtil               ] [@] Processed 0 GitHub import configurations
[2023-06-09 12:54:20,269]  12:54:20,258 INFO  [@init servlet   ] [RefactoringUtil               ] [@] Processed 0 GitHub import configurations
[2023-06-09 12:54:20,270]  12:54:20,263 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.imports.refactoring.RefactoringMigrateProgressToPersistence
[2023-06-09 12:54:20,272]  12:54:20,266 INFO  [@init servlet   ] [RefactoringUtil               ] [@] Processed 0 import configurations
[2023-06-09 12:54:20,283]  12:54:20,274 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.imports.refactoring.RefactoringRemoveProgressAttributeDeclaration
[2023-06-09 12:54:20,295]  12:54:20,286 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.imports.refactoring.RefactoringRemoveIssueLinkStubEvents
[2023-06-09 12:54:20,316]  12:54:20,306 INFO  [@init servlet   ] [XdRefactoring                 ] [@] [RefactoringRemoveIssueLinkStubEvents] Removed stub issue links events: 0/0 
[2023-06-09 12:54:20,317]  12:54:20,312 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.imports.refactoring.RefactoringRemoveArticleParentStubEvents
[2023-06-09 12:54:20,329]  12:54:20,322 INFO  [@init servlet   ] [XdRefactoring                 ] [@] [RefactoringRemoveArticleParentStubEvents] Removed stub article parent events: 0/0 
[2023-06-09 12:54:20,330]  12:54:20,326 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.imports.refactoring.RefactoringGetRidOfExtensionPoint
[2023-06-09 12:54:20,341]  12:54:20,332 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.imports.refactoring.RefactoringRestoreImportClientEntry
[2023-06-09 12:54:20,343]  12:54:20,334 INFO  [@init servlet   ] [RefactoringUtil               ] [@] RefactoringRestoreImportClientEntry: processed 0 corrupted import configurations
[2023-06-09 12:54:20,344]  12:54:20,338 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: Migrate temporarily created plugin configuration attributes to upper level class
[2023-06-09 12:54:20,356]  12:54:20,346 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.event.refactoring.UserJobRefactoringAddProjectToEvents
[2023-06-09 12:54:20,367]  12:54:20,366 INFO  [@init servlet   ] [UserJobRecursiveRefactoring   ] [@] UserJobRefactoringAddProjectToEvents_0-2000 user job is scheduled to start at around 2023-06-09T13:39:20.356Z
[2023-06-09 12:54:20,379]  12:54:20,369 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.event.refactoring.recursive.UserJobRefactoringChangeDiff
[2023-06-09 12:54:20,380]  12:54:20,373 INFO  [@init servlet   ] [UserJobRecursiveRefactoring   ] [@] UserJobRefactoringChangeDiff_1370955260370-31536000000 user job is disabled
[2023-06-09 12:54:20,381]  12:54:20,374 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: Convert script package model from persistent file to string blob
[2023-06-09 12:54:20,381]  12:54:20,374 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: Recalculate allowAutoUpdate
[2023-06-09 12:54:20,382]  12:54:20,379 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: Set package language (to MPS)
[2023-06-09 12:54:20,393]  12:54:20,387 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: Remove import package 3
[2023-06-09 12:54:20,395]  12:54:20,390 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: Mark import client packages as legible for automatic update
[2023-06-09 12:54:20,396]  12:54:20,394 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: Replace empty script body with space symbol
[2023-06-09 12:54:20,407]  12:54:20,401 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.scripts.refactoring.RefactoringDisableMPSWorkflows
[2023-06-09 12:54:20,408]  12:54:20,405 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.scripts.refactoring.RefactoringRemoveObsoleteUnusedScriptPackages
[2023-06-09 12:54:20,419]  12:54:20,408 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: Add backward link from data container
[2023-06-09 12:54:20,897]  12:54:20,896 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.agile.refactorings.RefactoringMoveAttributeBasedOrdering
[2023-06-09 12:54:20,898]  12:54:20,897 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.agile.refactorings.RefactoringDropLastVisitedSprintFunctionality
[2023-06-09 12:54:20,909]  12:54:20,902 INFO  [@init servlet   ] [RefactoringUtil               ] [@] Removing lastVisitedSprints 22
[2023-06-09 12:54:20,910]  12:54:20,908 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.agile.refactorings.RefactoringRemoveGoalFromNoSprintAgiles
[2023-06-09 12:54:20,921]  12:54:20,912 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.agile.refactorings.RefactoringMoveProjectColorsToConfig
[2023-06-09 12:54:20,922]  12:54:20,914 INFO  [@init servlet   ] [RefactoringUtil               ] [@] 0 agiles processed
[2023-06-09 12:54:20,922]  12:54:20,915 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.agile.refactorings.RefactoringCleanupOriginalEstimationField
[2023-06-09 12:54:20,922]  12:54:20,916 INFO  [@init servlet   ] [RefactoringUtil               ] [@] Removing lastVisitedSprints 0
[2023-06-09 12:54:20,923]  12:54:20,918 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.agile.refactorings.RefactoringFixTagBasedAgiles
[2023-06-09 12:54:20,924]  12:54:20,920 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.agile.refactorings.RefactoringReassignOrDeleteWatchFoldersOwnedByGuest
[2023-06-09 12:54:20,945]  12:54:20,937 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.refactoring.RefactoringTrimLongValues Agile
[2023-06-09 12:54:20,945]  12:54:20,937 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.refactoring.RefactoringTrimLongValues Sprint
[2023-06-09 12:54:20,946]  12:54:20,937 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.agile.refactorings.RefactoringAddOrdinalToSprint
[2023-06-09 12:54:20,946]  12:54:20,938 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.agile.refactorings.RefactoringAgileColorizeCustomFields
[2023-06-09 12:54:20,946]  12:54:20,939 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.charisma.teamcity.refactoring.RefactoringIntroduceChangesProcessingOption
[2023-06-09 12:54:20,947]  12:54:20,940 INFO  [@init servlet   ] [RefactoringUtil               ] [@] Migrated 0 XdTeamcityChangeProcessor
[2023-06-09 12:54:20,948]  12:54:20,941 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.integration.teamcity.refactoring.RefactoringSplitSinceBuildAndLastBuild
[2023-06-09 12:54:20,948]  12:54:20,942 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.integration.github.refactoring.RefactoringMigrateToRepositoryPath
[2023-06-09 12:54:20,949]  12:54:20,943 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.integration.github.refactoring.RefactoringMergeSameGitlabChangesProcessors
[2023-06-09 12:54:20,949]  12:54:20,948 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.integration.github.refactoring.RefactoringMoveHookIdToString
[2023-06-09 12:54:20,960]  12:54:20,952 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.integration.github.refactoring.RefactoringSwitchApiKeyOwners
[2023-06-09 12:54:20,961]  12:54:20,954 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.integration.vcs.refactoring.RefactoringTryToSupportPullRequest
[2023-06-09 12:54:20,962]  12:54:20,959 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.integration.vcs.refactoring.RefactoringMigrateToXdVcsChangesingProcessorOption
[2023-06-09 12:54:20,963]  12:54:20,961 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.integration.vcs.refactoring.RefactoringSpaceRemoveBraces
[2023-06-09 12:54:20,974]  12:54:20,963 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.integration.vcs.refactoring.RefactoringKillApiKey
[2023-06-09 12:54:20,975]  12:54:20,965 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.integration.vcs.refactoring.RefactoringKillApiKey2
[2023-06-09 12:54:20,975]  12:54:20,967 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.integration.vcs.refactoring.RefactoringSpaceSetupApplicationLink
[2023-06-09 12:54:20,976]  12:54:20,969 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.integration.vcs.refactoring.RefactoringSplitVcsSuperUsers
[2023-06-09 12:54:20,977]  12:54:20,973 INFO  [@init servlet   ] [RefactoringUtil               ] [@] Splitting VCS users
[2023-06-09 12:54:20,988]  12:54:20,979 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.integration.vcs.refactoring.RefactoringMoveSpaceIntegrationToApplicationWebHooks
[2023-06-09 12:54:20,989]  12:54:20,986 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Found 0 enabled space vcs processors with token based auth
[2023-06-09 12:54:21,000]  12:54:20,989 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.workflow.refactorings.RefactoringFixWorkflowUserName
[2023-06-09 12:54:21,001]  12:54:20,995 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.workflow.refactorings.AttachCloneAsDraftWorkflow
[2023-06-09 12:54:21,002]  12:54:20,997 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.workflow.refactorings.RefactoringRemoveIncorrectlyNamedGitHubClientComponent
[2023-06-09 12:54:21,013]  12:54:21,007 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.workflow.refactorings.RefactoringMigrateTimeEvents
[2023-06-09 12:54:21,014]  12:54:21,008 INFO  [@init servlet   ] [RefactoringUtil               ] [@] processed 0 ScheduledEvents
[2023-06-09 12:54:21,014]  12:54:21,011 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.youtrack.workflow.refactorings.RefactoringRenameProfanity
[2023-06-09 12:54:21,015]  12:54:21,013 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.charisma.customfields.refactoring.RefactoringClearLocalizedNameInDefaultLocale
[2023-06-09 12:54:21,026]  12:54:21,019 INFO  [@init servlet   ] [XdRefactoring                 ] [@] Apply refactoring: jetbrains.charisma.customfields.refactoring.RefactoringResetConditionAppliedInStates
[2023-06-09 12:54:21,028]  12:54:21,020 INFO  [@init servlet   ] [RefactoringUtil               ] [@] Check for multiple conditional state in 0 projects
